暫	暂
賺	赚
雜	杂
裝	装
莊	庄
場	场
墻	墙
牆	墙
壯	壮
奬	奖
獎	奖
妝	妆
嬙	嫱
將	将
帳	帐
張	张
槳	桨
樁	桩
檣	樯
漿	浆
腸	肠
臟	脏
髒	脏
萇	苌
蔣	蒋
薔	蔷
賬	账
贓	赃
贜	赃
醬	酱
鏘	锵
長	长
駔	驵
纔	才
災	灾
齋	斋
財	财
載	载
齜	龇
爭	争
崢	峥
掙	挣
鎗	枪
猙	狰
箏	筝
諍	诤
錚	铮
藷	薯
牴	抵
豬	猪
佇	伫
儲	储
著	着
櫧	槠
苧	苎
詛	诅
詆	诋
貯	贮
這	这
齟	龃
適	适
跡	迹
墑	墒
敵	敌
磧	碛
勣	积
積	积
糴	籴
績	绩
覿	觌
謫	谪
賊	贼
鏑	镝
澱	淀
專	专
傳	传
囀	啭
巔	巅
戔	戋
戰	战
戩	戬
氈	毡
電	电
癲	癫
磚	砖
箋	笺
縳	缚
纏	缠
靦	腼
詮	诠
轉	转
輇	辁
輾	辗
錢	钱
鈿	钿
鐉	铣
銓	铨
鐫	镌
闐	阗
顓	颛
顛	颠
顫	颤
餞	饯
竊	窃
癤	疖
絕	绝
節	节
唸	念
佔	占
點	点
霑	沾
墊	垫
漸	渐
摺	折
鰈	鲽
偵	侦
淨	净
凈	净
幀	帧
棖	枨
檉	柽
楨	桢
湞	浈
睜	睁
禎	祯
蟶	蛏
訂	订
貞	贞
鄭	郑
釘	钉
鉦	钲
鋌	铤
錠	锭
靚	靓
靜	静
頂	顶
隄	堤
製	制
儕	侪
劑	剂
嚌	哜
擠	挤
濟	济
綈	绨
緹	缇
臍	脐
薺	荠
蠐	蛴
諸	诸
躋	跻
銻	锑
際	际
霽	霁
題	题
鱭	鲚
鵜	鹈
齊	齐
齏	齑
弔	吊
彫	雕
譟	噪
條	条
棗	枣
竈	灶
糶	粜
組	组
絛	绦
繰	缲
蔦	茑
詔	诏
調	调
趙	赵
釕	钌
釣	钓
鰷	鲦
鯛	鲷
鳥	鸟
鏃	镞
蹤	踪
從	从
慫	怂
樅	枞
種	种
縱	纵
終	终
綜	综
腫	肿
鐘	钟
鍾	锺
銼	锉
週	周
註	注
硃	朱
冑	胄
丟	丢
儔	俦
湊	凑
廚	厨
幬	帱
晝	昼
櫥	橱
疇	畴
籌	筹
紂	纣
綢	绸
誅	诛
躊	踌
躕	蹰
輳	辏
